,id,createdtime,username,tweets
63,1405974865601957894,2021-06-18 19:45:04,GemBagay,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
64,1405954831303548929,2021-06-18 18:25:27,UTradinghunter,"🎣🎣
GOOG Call
Lotto🎱
$GOOG
#GOOG
🐟🐠 https://t.co/fBXRNwXKMQ"
65,1405953007175536640,2021-06-18 18:18:12,mostafa_khalaji,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
66,1405946967251955715,2021-06-18 17:54:12,famedinag,"@OGesports @TeamNigma Won’t be able to watch :(
Best of luck guys #DreamOG #GoOG.
@OGesports @OG_BDN0tail"
67,1405943612840370178,2021-06-18 17:40:53,Lucianoutv2,"RT @WebullGlobal: Start your investing journey on #Webull with FREE stocks! You may have a chance of owning a #GOOG, #FB, or #SBUX stock!"
68,1405938612328448000,2021-06-18 17:21:00,abhibisht89,RT @AIApparelStore: What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplat…
69,1405938190129713155,2021-06-18 17:19:20,AIApparelStore,What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplatform #amazonwebservices #bigdata #bigdataanalytics #analytics #fintech #neuralnetworks #hadoop #deeplearning #APPL #GOOG https://t.co/uDBP5PVdmJ
70,1405926994735370240,2021-06-18 16:34:51,TrendSpider,"$GOOG #GOOG Up over 7% from earnings back in April!

https://t.co/TSDeiWsGV5"
71,1405918289298006021,2021-06-18 16:00:15,tanyu8916,"@GoogolCoin A good project and strong team, in a predictable and transparent road map, planned and projected.I think in the near future I will see an authentic growth of this project
@AleksandraStaks
@ALERUSIK
@VaRile_YokArasi
@alifakhari
@VladimirShipic1

#GOOG #Airdrop #BNB   #BSC   $GOOG"
72,1405918251918450688,2021-06-18 16:00:06,TradingSurfers,"#EEM Elliott Wave Analysis 📈

Charts are released earlier in our Discord group #joinus
Please like and share if you appreciate this #Elliottwave analysis

https://t.co/tDvfdQFQ4l

#NDX #SPX #MSFT #APPL #AMZN #GOOG #GOOGL #FB #AMD #NVDA #SMH #XLK #JPM #M #PG #UNH #INTC #VZ #MA https://t.co/Z8VdS0GqYy"
73,1405892283484958723,2021-06-18 14:16:55,RincemonKeenth1,"@GoogolCoin Dear friends, the concept of this project is excellent. $GOOG is on many exchanges and in time it will break all the levels to be in galaxy🔜🤗

@Neginfdm
@Sima90851896
@AMohtajeb
@amkhp1111
@AmirSal37737192
@Roya28652989

#GOOG #Airdrop #BNB  #BSC  $GOOG"
74,1405886458930642947,2021-06-18 13:53:46,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/cmkkukgF0D
75,1405878911045718019,2021-06-18 13:23:47,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/MMTQXeukcC
76,1405861299674824715,2021-06-18 12:13:48,hfada,"@GoogolCoin Thank you for making this opportunity. Hopefully this project will be successful.

@halakoei 
 
@TONi_ZH1 
 
@Sarah_Nabaa 
 
@siamak
 
@D_DeGea

#GOOG #Airdrop #BNB #BSC $GOOG"
77,1405857836534431753,2021-06-18 12:00:02,fr_tradingview,#GOOG - GOOGLE  - TradingView - https://t.co/Eblw085OJo
