,id,createdtime,username,tweets
72,1406996825379422217,2021-06-21 15:25:58,Malykhassan4,RT @Malykhassan4: @RajaHasnainAhm3 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tec…
73,1406996330732527621,2021-06-21 15:24:00,Malykhassan4,"@RajaHasnainAhm3 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
74,1406996179905286149,2021-06-21 15:23:24,MuddaairK,RT @Malykhassan4: @MuddaairK Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . Al…
75,1406996095071309827,2021-06-21 15:23:04,Malykhassan4,RT @Malykhassan4: @KhanMomina884 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech…
76,1406995694204903432,2021-06-21 15:21:28,Malykhassan4,"@KhanMomina884 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
77,1406995165860990978,2021-06-21 15:19:22,Malykhassan4,RT @Malykhassan4: @MuddaairK Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . Al…
78,1406994780329029633,2021-06-21 15:17:50,Malykhassan4,"@MuddaairK Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
79,1406994108317671433,2021-06-21 15:15:10,sohail_huzaifa,RT @MohaddisSyed: Proudly the Very own Exchange of Pakistan. The international community should cover the progressive face of Pakistan and…
80,1406992870565888003,2021-06-21 15:10:15,MohaddisSyed,Proudly the Very own Exchange of Pakistan. The international community should cover the progressive face of Pakistan and should support it. #TenupNation #coindesk #CNBC #cointelegraph #shoaibaktharincrypto #ShoaibAkhtarNFT https://t.co/NyeTfSAYbt
81,1406992790404440068,2021-06-21 15:09:56,ghafoorammar5,#coindesk #cointelegraph #CNBC #shoaibAkhtarincrypto this is very big news regarding crypto in pakistan. #teamtenup is going to launch first cricket NFT. https://t.co/hxGM0fuFTL
82,1406992737254187009,2021-06-21 15:09:43,Ghazal37556537,"Follow me i will follow back
#shoaibakhtarincrypto 
#ShoaibAkhtarNFT 
#waqarzaka 
#CNBC 
#coindesk 
#Coinbase 
#cointelegraph https://t.co/y8YHQAkTox"
83,1406991425573687299,2021-06-21 15:04:31,Malykhassan4,RT @Malykhassan4: @ZakaWaqar Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . Al…
84,1406991272963944452,2021-06-21 15:03:54,Malykhassan4,"@ZakaWaqar Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
85,1406990252397432832,2021-06-21 14:59:51,Malykhassan4,RT @Malykhassan4: Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit go…
86,1406990159460155395,2021-06-21 14:59:29,Malykhassan4,"Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
